tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,PULocationID,DOLocationID,LocationID,zone,latitude,longitude,borough
2020-12-06 16:12:32,2020-12-06 16:26:23,2.53,144,162,175,Oakland Gardens,-73.75735677,40.74327385,Queens
2020-12-06 16:50:23,2020-12-06 16:55:10,.66,234,113,176,Oakwood,-74.11961243,40.56206061,Staten Island
2020-12-06 16:07:26,2020-12-06 16:51:16,21.98,132,40,177,Ocean Hill,-73.91110579,40.67709861,Brooklyn
2020-12-06 16:14:07,2020-12-06 16:38:18,6.68,229,33,178,Ocean Parkway South,-73.97068878,40.61763318,Brooklyn
2020-12-06 16:53:04,2020-12-06 17:16:02,3.04,231,230,179,Old Astoria,-73.92681236,40.77142534,Queens
2020-12-06 16:14:52,2020-12-06 16:21:27,1.28,237,233,180,Ozone Park,-73.84936435,40.67516385,Queens
2020-12-06 16:23:12,2020-12-06 16:36:47,2.50,170,249,181,Park Slope,-73.9790449,40.67201914,Brooklyn
2020-12-06 16:45:47,2020-12-06 17:01:18,3.29,90,238,182,Parkchester,-73.85794162,40.83740436,Bronx
2020-12-06 16:20:42,2020-12-06 16:36:16,2.52,143,141,183,Pelham Bay,-73.83185405,40.84956865,Bronx
2020-12-06 16:39:47,2020-12-06 16:41:04,.58,262,263,184,Pelham Bay Park,-73.80461084,40.86478542,Bronx
2020-12-06 16:19:16,2020-12-06 16:31:24,7.84,138,263,185,Pelham Parkway,-73.85518043,40.85347166,Bronx
2020-12-06 16:32:35,2020-12-06 16:42:10,1.50,161,141,186,Penn Station/Madison Sq West,-73.99245533,40.74847636,Manhattan
2020-12-06 16:45:39,2020-12-06 16:52:33,.76,140,237,187,Port Richmond,-74.14115248,40.62545372,Staten Island
2020-12-06 16:56:39,2020-12-06 17:04:40,1.42,237,238,188,Prospect-Lefferts Gardens,-73.94520016,40.65756006,Brooklyn
2020-12-06 16:00:43,2020-12-06 16:12:04,2.07,262,238,189,Prospect Heights,-73.96826963,40.67718249,Brooklyn
2020-12-06 16:25:27,2020-12-07 16:12:04,4.46,238,246,190,Prospect Park,-73.97095007,40.66060757,Brooklyn
2020-12-06 16:53:51,2020-12-06 17:15:23,6.14,186,166,191,Queens Village,-73.74112042,40.7142783,Queens
2020-12-06 16:15:50,2020-12-06 16:32:45,4.42,196,260,192,Queensboro Hill,-73.81519254,40.744411,Queens
2020-12-06 16:53:57,2020-12-06 16:57:50,.91,141,237,193,Queensbridge/Ravenswood,-73.9402863,40.76172443,Queens
2020-12-06 16:58:39,2020-12-06 17:02:11,.58,141,262,194,Randalls Island,-73.92102903,40.79143296,Manhattan
2020-12-06 16:35:00,2020-12-06 17:07:32,18.81,10,127,195,Red Hook,-74.00954931,40.67546168,Brooklyn
2020-12-06 16:17:04,2020-12-06 16:33:41,3.10,41,143,196,Rego Park,-73.86401021,40.72364786,Queens
2020-12-06 16:46:09,2020-12-06 16:55:50,1.46,186,163,197,Richmond Hill,-73.82904356,40.69300047,Queens
2020-12-06 16:36:58,2020-12-06 16:44:22,1.63,141,236,198,Ridgewood,-73.90199375,40.70452153,Queens
2020-12-06 16:57:11,2020-12-06 17:09:40,4.10,138,92,199,Rikers Island,-73.8835364,40.79204594,Bronx
2020-12-06 16:19:18,2020-12-06 16:26:49,1.47,237,142,200,Riverdale/North Riverdale/Fieldston,-73.90646061,40.89985962,Bronx
2020-12-07 21:01:28,2020-12-07 21:17:25,8.41,140,158,201,Rockaway Park,-73.84724648,40.57746872,Queens
2020-12-07 20:18:08,2020-12-07 20:28:20,2.65,170,142,202,Roosevelt Island,-73.95041049,40.76116791,Manhattan
2020-12-07 20:03:41,2020-12-07 20:20:26,2.99,234,246,203,Rosedale,-73.73671881,40.65950178,Queens
2020-12-07 20:06:28,2020-12-07 20:31:13,8.56,230,17,204,Rossville/Woodrow,-74.20697295,40.54074269,Staten Island
2020-12-07 20:26:12,2020-12-07 20:29:45,.90,230,100,205,Saint Albans,-73.76261566,40.69221897,Queens
2020-12-07 20:48:33,2020-12-07 20:53:07,1.00,237,236,206,Saint George/New Brighton,-74.12316376,40.6359594,Staten Island
2020-12-07 20:04:04,2020-12-07 20:13:39,1.80,142,263,207,Saint Michaels Cemetery/Woodside,-73.89932502,40.76351135,Queens
2020-12-07 20:35:09,2020-12-07 20:45:18,1.90,142,140,208,Schuylerville/Edgewater Park,-73.82488634,40.82468614,Bronx
2020-12-07 20:48:07,2020-12-07 21:02:04,3.40,140,41,209,Seaport,-74.00235972,40.70848969,Manhattan
2020-12-07 20:12:18,2020-12-07 20:19:28,2.30,100,239,210,Sheepshead Bay,-73.94433605,40.59376161,Brooklyn
2020-12-07 20:26:38,2020-12-07 20:34:25,1.90,142,186,211,SoHo,-74.00137473,40.72389907,Manhattan
2020-12-07 20:44:41,2020-12-07 20:52:38,1.27,237,236,212,Soundview/Bruckner,-73.86990193,40.82827699,Bronx
2020-12-07 20:03:57,2020-12-07 20:10:22,1.20,68,50,213,Soundview/Castle Hill,-73.86079104,40.81649076,Bronx
2020-12-07 20:17:15,2020-12-07 20:38:13,4.40,68,262,214,South Beach/Dongan Hills,-74.08588545,40.58661907,Staten Island
2020-12-07 20:03:04,2020-12-07 20:07:52,1.28,107,233,215,South Jamaica,-73.79036754,40.6941903,Queens
2020-12-07 20:12:47,2020-12-07 20:20:50,1.61,141,142,216,South Ozone Park,-73.82051327,40.67707123,Queens
2020-12-07 20:39:28,2020-12-07 20:42:05,.51,43,48,217,South Williamsburg,-73.95684577,40.70324961,Brooklyn
2020-12-07 20:57:29,2020-12-07 21:06:29,1.23,43,264,218,Springfield Gardens North,-73.77211628,40.67362003,Queens
2020-12-07 20:11:32,2020-12-07 20:19:57,1.80,148,137,219,Springfield Gardens South,-73.76100796,40.6602285,Queens
